,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient
475,2,1.1660237393358672,0.28,0.0,2.1,5.2963614502505525,9.4771559931953,4.136310520223437,5296.901970028497,3.7642115422251847,2.34258797314058,0.9851172148742157,41.093937138943616,686.315960496108,0.001263287239178236,0.0005771756741401735
476,2,0.9463240620949358,0.28,0.0,2.1,11.476678348587036,9.396014680743107,8.982255901840102,5239.0258102024545,3.8883043052276816,1.8288300486646536,0.9712118332408362,53.80062178243729,918.3380105886736,0.0011992089373758404,0.0005078137768790292
477,1,0.934012845601648,0.28,0.0,2.1,1.7429703119343507,1.3833127643990109,9.470664906493164,5695.224961736291,4.531917309476572,0.8672862209240796,0.9774326507240441,161.8493059023639,3876.907078293603,0.0001739179752406916,0.002863866061441428
478,2,1.0243626298745556,0.28,0.0,2.1,7.714351207890718,7.499283830792913,6.362779967545737,5862.799107445168,4.074125490127623,1.5370994852001698,0.9202230830326166,72.85784989451716,1331.6696681190147,0.0009050424366619476,0.0031187658925202477
479,1,1.1882847191148225,0.28,0.0,2.1,1.2489300798340879,1.7666210937003601,3.899093345759269,6390.421159324254,4.315359401220649,1.2552355548411291,0.8561993240031747,103.59057788736351,2222.8910887225,0.0001868122225173866,0.0029499681097255315
480,2,0.9990820108419524,0.28,0.0,2.1,9.474181338542149,9.543599240883337,7.116143083194442,5172.93242609128,3.8125840388316536,2.050058592600952,0.9807837320904799,46.4062729057636,776.31711408869,0.0016388280902678396,0.0007324971352988818
481,1,1.154613340360251,0.28,0.0,2.1,0.5127361731337268,1.2335687337178474,4.265167654282149,6315.102313941043,4.387968517922645,1.1380954923895166,0.9630435638627817,118.99984510770537,2643.0285020977153,0.00017165565729534228,0.0032941964223592995
482,1,1.154613340360251,0.28,0.0,2.1,4.019257146323699,5.183403247347229,4.265167654282149,6088.886851260371,4.146625730508099,1.5026232243662259,0.8422306254014905,79.3784493248614,1544.1173501116846,0.00026022490590549394,0.002157923141219098
483,2,1.0243626298745556,0.28,0.0,2.1,7.734147671832317,7.538158328229262,6.362779967545737,5859.419920868687,4.071090255892963,1.5424621554525977,0.9221041559725733,72.49023605302287,1322.7764929330315,0.0009208861199684755,0.0031038777640427506
484,2,1.1882847191148225,0.28,0.0,2.1,3.9036280929729186,5.921966596099012,3.899093345759269,6236.502612588005,4.051773719164824,1.7001222546291612,0.8332390659076183,66.54808434126065,1226.384601996976,0.0003862938214895664,0.0005827721368211192
485,2,0.9867619304717352,0.28,0.0,2.1,9.99289971246712,9.713499110661926,7.519578530552136,5075.93350924826,3.7499319466105536,2.189635106570955,0.9843792671088917,41.60561609354709,678.4182285244988,0.0008846103149044326,0.0004174452948034757
486,2,1.1660237393358672,0.28,0.0,2.1,4.522416142023082,6.8227314897300815,4.136310520223437,6102.144943830523,4.008698935046139,1.769233242325345,0.8407174493625711,62.704477180214965,1122.7451809015215,0.0010221557357414839,0.003982945898252432
487,2,0.8579268088887941,0.28,0.0,2.1,16.394273197766786,9.49922120854502,13.387576804883627,5089.339512020168,3.8986208354570357,1.7208047497788193,0.9641514181607206,56.07039778742807,954.1433938536368,0.0014947650919019343,0.0005905912854627937
488,2,1.0963029195578284,0.28,0.0,2.1,5.39054572992858,6.161209234816611,4.999313594720704,6050.145634674082,4.10797740638409,1.5302000165010303,0.8585876395611558,75.57730581956436,1417.157162732991,0.00033199141492012046,0.002006422137818431
489,2,0.9208815419766596,0.28,0.0,2.1,12.984664370448668,9.93993306323637,10.066300661529857,4960.447770201329,3.640257209118741,2.3997082575623288,0.9869694671575602,34.82757294088417,533.1142517888222,0.0005770932672205598,0.00022208054303951563
